Industry Name,Number of firms,% of Money Losing firms (Trailing),Current PE,Trailing PE,Forward PE,Aggregate Mkt Cap/ Net Income (all firms),Aggregate Mkt Cap/ Trailing Net Income (only money making firms),Expected growth - next 5 years,PEG Ratio
Household Products,43,0.16279069767441856,33.03969799714013,57.22209779650822,22.48032332700026,33.30672670545249,39.138671983218245,0.11461538461538463,3.4147834616230677
Information Services,14,0.0714285714285714,45.48686106119088,76.71373608562699,37.577110362326266,15.913514003620316,17.949466591802356,0.041999999999999996,4.273682521857705
Insurance (General),6,0.33333333333333337,88.87416881120268,25.571529731012998,27.83425059622088,15.63946255287385,10.552963367417851,,
Insurance (Life),5,0.0,10.913514996743677,203.7824184433047,12.274301168609103,15.121985104880773,13.293321555506083,0.25276000000000004,0.525926632200747
Insurance (Prop/Cas.),7,0.0,16.69116106657282,13.47307040205536,10.840315481015761,17.96385910293942,12.57020146715938,-0.0017333333333333322,
Investments & Asset Management,14,0.2857142857142857,43.00965354291692,31.421259201025993,36.71336756540029,8.126865960994147,7.196139333110865,0.5660000000000001,0.1271402709030188
Machinery,229,0.10480349344978168,15.928649492336657,20.483982608737172,19.816174386690605,17.48690710648813,19.866559492245717,0.115984,1.712870697013874
Metals & Mining,21,0.23809523809523814,16.189095146899,19.625375059792287,11.990283295963838,10.145679797016792,17.7062210274538,0.17426,1.016080628225284
Office Equipment & Services,26,0.1923076923076923,13.122591392257553,17.523421539895295,12.994086777297355,13.479753581066314,13.012843334697196,0.1405,0.9261810202631456
Oil/Gas (Integrated),0,,0.0,0.0,0.0,,,0.0,
Oil/Gas (Production and Exploration),2,0.0,4.545635215602003,5.175777428151475,7.288006042934416,4.964234434146978,5.515256105342537,-0.0695,
Oil/Gas Distribution,3,0.0,8.40156714260597,12.679359716933737,9.276422764227643,10.668822062947958,12.283715298022155,0.187,0.6568831710172276
Oilfield Svcs/Equip.,19,0.1578947368421053,18.951238823980816,24.626230980739862,8.821432744844723,7.343407514376339,15.411142330318727,0.14575000000000002,1.0573682559395352
Packaging & Container,30,0.09999999999999998,19.530775993871615,16.85381034823637,11.493788454456807,18.517011215898492,14.149774792522292,0.11199999999999999,1.2633727493323477
Paper/Forest Products,15,0.33333333333333337,11.455526792662594,11.525674626128861,14.91012321975405,,11.859882327304424,0.096,1.235404409094211
Power,25,0.040000000000000036,24.624152142266926,19.318702634905073,9.531894547660565,,4.591405832779754,0.21340000000000003,0.21515491250139424
Precious Metals,2,0.0,16.368942704391767,18.022405782137326,12.357142857142856,13.148256837657001,17.821797931583134,,
Publishing & Newspapers,53,0.1132075471698113,22.798029408108096,27.8568572132687,16.36567459480036,16.093597699247482,16.958736965069225,0.0006666666666666765,254.38105447603462
R.E.I.T.,54,0.0,25.58625100676517,24.46759923587104,24.62565831865621,25.72325011376329,25.5810479329833,,
Real Estate (Development),15,0.1333333333333333,17.21418487876714,43.51773144487787,12.650919958430734,12.628810994517625,16.919626528058526,0.135,1.253305668745076
Real Estate (General/Diversified),56,0.1071428571428571,13.30847527098094,14.913352574084836,11.365538207204324,11.635638698215603,12.24842690971875,0.07255555555555555,1.688144597051589
Real Estate (Operations & Services),43,0.0,20.16115293399748,47.82252720662223,17.795257983940157,15.081644961523388,14.172000050626718,0.1046,1.354875721857239
Recreation,51,0.0980392156862745,38.435184314102735,69.60479656681481,18.53951115160744,26.204816317707976,28.465736298277978,0.027381111111111113,10.396121685042477
Reinsurance,0,,0.0,0.0,0.0,,,0.0,
Restaurant/Dining,107,0.3457943925233645,47.06014003362939,65.98470690407687,36.61186724701231,122.47344516832652,44.28093116187519,0.20450000000000002,2.1653267071821602
Retail (Automotive),29,0.03448275862068961,9.67303390116074,13.424055478809914,13.077065925617916,12.722966643026982,14.158878895978834,0.08199999999999999,1.7266925482901019
Retail (Building Supply),19,0.052631578947368474,15.790596005308588,54.98719824441267,14.86070608303077,17.552351923282846,18.071824751519895,0.0187,9.66407740722989
Retail (Distributors),144,0.06944444444444442,12.603521608720538,15.622773079002705,11.421336580450381,7.707529685403927,9.672762849698756,0.012787500000000004,7.564232922540571
Retail (General),42,0.19047619047619047,156.83634626085257,157.6032661556781,20.712812567610754,,28.859083274973823,0.10384285714285714,2.7791110596342934
Retail (Grocery and Food),57,0.17543859649122806,32.50346590122012,22.12741623749642,18.134223003544687,18.462366941139194,20.33813076497449,0.11820000000000001,1.7206540410299904
Retail (REITs),4,0.0,22.161315781418182,22.161315781418182,22.154149177619768,22.20891806247171,22.20891806247171,,
Retail (Special Lines),131,0.25190839694656486,27.461106040254737,51.79558369368569,44.38132698120905,25.121783287848444,24.89658285868445,0.11173157894736842,2.2282494432851503
Rubber& Tires,6,0.0,16.27917655524719,10.252379708759008,8.581134353682481,12.217131010966018,10.77322816708904,0.3866666666666667,0.2786179698385096
Semiconductor,21,0.19047619047619047,151.34731006335892,23.397788260774565,22.09051086048965,15.061201721167857,15.57406031559252,0.1095,1.4222886132961208
Semiconductor Equip,36,0.05555555555555558,19.886730731420702,24.840538106563105,22.191459980832285,24.285113732773162,33.5133753914896,0.08416444444444444,3.9818923076966577
Shipbuilding & Marine,29,0.06896551724137934,8.354359808865594,9.115545141161785,12.040373244248189,2.3055140255132107,6.3161331215964776,-0.5820000000000001,
Shoe,3,0.33333333333333337,25.396459173477673,47.74840961449279,22.22695035460993,38.890699389794136,23.360191084087486,,
Software (Entertainment),73,0.3287671232876712,124.5769787488626,33.47221460691748,22.48620122180146,22.358388468706956,18.48828493640334,0.314,0.5887988833249471
Software (Internet),26,0.3846153846153846,34.35492307387957,48.591325725038615,22.19343493591614,34.86719068577135,35.43238070731276,0.16699999999999998,2.1216994435516625
Software (System & Application),176,0.2670454545454546,115.069436267524,50.14670162210379,37.99057981289579,40.94588648015314,32.48438736705578,0.24546,1.3234085947631298
Steel,42,0.09523809523809523,10.619573068024819,9.43877857803885,7.721337848555615,5.721636595496541,6.584130504664429,0.0026666666666666713,24.690489392491564
Telecom (Wireless),7,0.1428571428571429,31.42682507895057,30.693963816532925,60.49831321194198,103.248745260151,14.844683198072316,0.10289999999999999,1.442631992038126
Telecom. Equipment,16,0.5,18.377147967350215,29.690402082518283,14.089621783051731,19.70298288232303,12.0649269630519,,
Telecom. Services,20,0.15000000000000002,21.77446346624704,14.881643696024957,13.360520959264027,11.767268460770344,13.330835997642044,0.0865,1.5411371095539939
Tobacco,1,0.0,13.67406392422031,14.257158829740977,12.93,13.67406392422031,14.257158829740977,0.071,2.008050539400138
Transportation,33,0.06060606060606055,12.913227297608884,14.637075706937328,12.26538901930908,10.166780014364438,15.869689426798425,-0.0109,
Transportation (Railroads),20,0.050000000000000044,22.31902513500362,20.20592583430295,17.59188735526163,19.002567440916355,16.872033843406648,0.11475,1.4703297467021044
Trucking,20,0.0,11.465175611066538,20.274322066042078,12.549198474149952,11.416064159171208,13.294824082741615,,
Utility (General),0,,0.0,0.0,0.0,,,0.0,
Utility (Water),0,,0.0,0.0,0.0,,,0.0,
Total Market,4020,0.15074626865671636,34.574358077651596,38.10923434094246,22.76770717945376,15.333804862926952,14.609557659917735,0.11932270935960593,1.2243736115552433
Total Market (without financials),3821,0.15205443601151536,35.16308425636484,34.84879725030589,23.07978157315018,16.273477287467955,15.653045806827794,,
